german,english,type,gender,example
gerne,gladly / with pleasure,Adverb,-,Ich koche gerne für Gäste.
lernen,to learn / study,Verb,-,Wir lernen Deutsch.
verstehen,to understand,Verb,-,Ich verstehe den Text nicht.
erklären,to explain,Verb,-,Können Sie das bitte erklären?
schreiben,to write,Verb,-,Er schreibt einen Brief.
die Schule,school,Noun,die,Die Kinder gehen zur Schule.
die Universität,university,Noun,die,Die Universität ist sehr alt.
der Kurs,course,Noun,der,Der Sprachkurs beginnt am Montag.
die Aufgabe,exercise / task,Noun,die,Wir machen jetzt Aufgabe 3.
der Fehler,mistake / error,Noun,der,"Kein Problem, das war nur ein kleiner Fehler."
schwer,difficult / heavy,Adjective,-,Die Grammatik ist nicht schwer.
einfach,easy / simple,Adjective,-,Diese Übung ist ganz einfach.
wehtun,to hurt,Verb,-,Mein Kopf tut weh.
untersuchen,to examine,Verb,-,Der Arzt untersucht den Patienten.
helfen,to help,Verb,-,Können Sie mir helfen?
der Arzt,doctor (male),Noun,der,Der Arzt gibt mir ein Rezept.
die Ärztin,doctor (female),Noun,die,Die Ärztin ist sehr nett.
das Krankenhaus,hospital,Noun,das,Er liegt im Krankenhaus.
die Medizin,medicine,Noun,die,Nimm die Medizin dreimal täglich.
der Kopf,head,Noun,der,Mein Kopf tut weh.
der Bauch,stomach / belly,Noun,der,Ich habe Bauchschmerzen.
krank,sick / ill,Adjective,-,Heute ist er leider krank.
gesund,healthy,Adjective,-,Obst und Gemüse sind gesund.
fahren,to drive / ride,Verb,-,Wir fahren mit dem Zug nach Berlin.
fliegen,to fly,Verb,-,Morgen fliege ich nach Spanien.
reisen,to travel,Verb,-,Sie reist sehr gern in fremde Länder.
ankommen,to arrive,Verb,-,Der Zug kommt um 14 Uhr an.
abfahren,to depart,Verb,-,Der Bus fährt gleich ab.
der Bahnhof,train station,Noun,der,Wir treffen uns am Bahnhof.
der Flughafen,airport,Noun,der,Der Flughafen ist weit entfernt.
der Zug,train,Noun,der,Der Zug hat fünf Minuten Verspätung.
der Bus,bus,Noun,der,Ich nehme den Bus zur Arbeit.
das Flugzeug,airplane,Noun,das,Das Flugzeug startet pünktlich.
die Fahrkarte,ticket,Noun,die,"Eine Fahrkarte nach München, bitte."
reparieren,to repair,Verb,-,Der Techniker repariert den Fernseher.
bestellen,to order,Verb,-,Ich möchte ein Buch bestellen.
funktionieren,to function / work,Verb,-,Die Heizung funktioniert wieder.
die Garantie,warranty / guarantee,Noun,die,Das Gerät hat zwei Jahre Garantie.
der Kundenservice,customer service,Noun,der,Rufen Sie den Kundenservice an.
kaputt,broken,Adjective,-,Mein Handy ist kaputt.
tragen,to wear / carry,Verb,-,Sie trägt heute ein rotes Kleid.
passen,to fit,Verb,-,Die Hose passt mir sehr gut.
gefallen,to like / please,Verb,-,Die Farbe gefällt mir.
das Kleid,dress,Noun,das,Das Kleid ist wirklich schön.
die Hose,pants / trousers,Noun,die,Ich suche eine schwarze Hose.
das Hemd,shirt,Noun,das,Er zieht ein weißes Hemd an.
die Jacke,jacket,Noun,die,Im Winter brauche ich eine warme Jacke.
der Schuh,shoe,Noun,der,Die Schuhe sind sehr bequem.
feiern,to celebrate,Verb,-,Wir feiern heute meinen Geburtstag.
gratulieren,to congratulate,Verb,-,Ich gratuliere dir herzlich!
einladen,to invite,Verb,-,Ich lade dich zu meiner Party ein.
das Fest,party / festival,Noun,das,Das Fest war wunderschön.
der Geburtstag,birthday,Noun,der,Herzlichen Glückwunsch zum Geburtstag!
das Geschenk,present / gift,Noun,das,Vielen Dank für das tolle Geschenk!
die Party,party,Noun,die,Die Party fängt um 20 Uhr an.
